,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Date,Accident.Category,injury.rating,damage.rating,State
7,20020909X01562,Accident,SEA82DA022,1982-01-01,PULLMAN WA,UNITED STATES,Non-Fatal,Substantial,Airplane,N2482N,CESSNA,140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,01-01-1982,1982-01-01,Minor,1,2,WA
8,20020909X01561,Accident,NYC82DA015,1982-01-01,EAST HANOVER NJ,UNITED STATES,Non-Fatal,Substantial,Airplane,N7967Q,CESSNA,401B,No,2.0,Reciprocating,Part 91: General Aviation,,Business,0.0,0.0,0.0,2.0,IMC,Landing,Probable Cause,01-01-1982,1982-01-01,Minor,1,2,NJ
13,20020917X02134,Accident,FTW82FRA14,1982-01-02,HEARNE TX,UNITED STATES,Fatal,Destroyed,Airplane,N758SK,CESSNA,R172K,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,02-01-1983,1982-01-02,Fatal,3,3,TX
15,20020917X02117,Accident,FTW82FPG08,1982-01-02,LITTLE ROCK AR,UNITED STATES,Fatal,Destroyed,Airplane,N9779L,BEECH,19,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,02-01-1983,1982-01-02,Fatal,3,3,AR
17,20020917X01656,Accident,ANC82FAG14,1982-01-02,SKWENTA AK,UNITED STATES,Fatal,Destroyed,Airplane,N7641A,CESSNA,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,3.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,02-01-1983,1982-01-02,Fatal,3,3,AK
18,20020917X02481,Accident,NYC82DA016,1982-01-02,GALETON PA,UNITED STATES,Non-Fatal,Substantial,Airplane,N25084,CESSNA,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,02-01-1983,1982-01-02,Minor,1,2,PA
20,20020917X01894,Accident,CHI82FEC08,1982-01-02,YPSILANTI MI,UNITED STATES,Non-Fatal,Substantial,Airplane,N68812,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,02-01-1983,1982-01-02,Minor,1,2,MI
21,20020917X01776,Accident,CHI82DA020,1982-01-02,CHARLOTTE MI,UNITED STATES,Non-Fatal,Substantial,Airplane,N1549Q,CESSNA,150L,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,02-01-1983,1982-01-02,Minor,1,2,MI
23,20020917X02333,Incident,LAX82IA034,1982-01-03,VAN NUYS CA,UNITED STATES,Incident,Minor,Airplane,N5018P,PIPER,PA-24-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,03-01-1983,1982-01-03,Minor,1,1,CA
25,20020917X01905,Accident,DCA82AA008,1982-01-03,ASHLAND VA,UNITED STATES,Fatal,Destroyed,Airplane,N2620L,CESSNA,414A,No,2.0,Reciprocating,Part 91: General Aviation,,Business,8.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-01-1983,1982-01-03,Fatal,3,3,VA
26,20020917X01720,Accident,ATL82FA033,1982-01-03,PINEHURST NC,UNITED STATES,Fatal,Destroyed,Airplane,N10VS,BEECH,BE-58,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-01-1983,1982-01-03,Fatal,3,3,NC
28,20020917X02340,Accident,MIA82DA030,1982-01-03,COCOA FL,UNITED STATES,Non-Fatal,Substantial,Airplane,N94252,CESSNA,210L,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,1.0,1.0,VMC,Descent,Probable Cause,03-01-1983,1982-01-03,Minor,1,2,FL
30,20020917X01992,Accident,FTW82DA036,1982-01-03,FORT WORTH TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N71054,CESSNA,182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,03-01-1983,1982-01-03,Minor,1,2,TX
32,20020917X02618,Accident,SEA82FA015,1982-01-04,PLEASANT HILL OR,UNITED STATES,Fatal,Destroyed,Airplane,N8265A,PIPER,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,4.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,04-01-1983,1982-01-04,Fatal,3,3,OR
33,20020917X02254,Accident,LAX82FA038,1982-01-04,NEAR LAS VEGAS NV,UNITED STATES,Fatal,Destroyed,Airplane,N1956H,PIPER,PA-34-200T,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,04-01-1983,1982-01-04,Fatal,3,3,NV
34,20020917X01880,Accident,CHI82FA019,1982-01-04,FORT WAYNE IN,UNITED STATES,Fatal,Destroyed,Airplane,N2CU,CESSNA,T337G,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,2.0,2.0,0.0,0.0,IMC,Cruise,Probable Cause,04-01-1983,1982-01-04,Fatal,3,3,IN
35,20020917X01991,Accident,FTW82DA035,1982-01-04,ESTANCIA NM,UNITED STATES,Non-Fatal,Substantial,Airplane,N32335,PIPER,PA-28R-200,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,04-01-1983,1982-01-04,Minor,1,2,NM
38,20020917X02253,Accident,LAX82FA036,1982-01-05,BLACK CANYON CI AZ,UNITED STATES,Fatal,Destroyed,Airplane,N4696Z,PIPER,PA-22,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,05-01-1983,1982-01-05,Fatal,3,3,AZ
39,20020917X01906,Accident,DCA82AA009,1982-01-05,ITHACA NY,UNITED STATES,Fatal,Destroyed,Airplane,N546BA,PIPER,PA-31,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,05-01-1983,1982-01-05,Fatal,3,3,NY
41,20020917X01993,Accident,FTW82DA037,1982-01-05,LONOKE AR,UNITED STATES,Non-Fatal,Substantial,Airplane,N5304P,PIPER,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,,Business,0.0,1.0,0.0,1.0,VMC,Descent,Probable Cause,05-01-1983,1982-01-05,Serious,2,2,AR
42,20020917X01658,Accident,ATL82DA028,1982-01-05,GASTONIA NC,UNITED STATES,Non-Fatal,Substantial,Airplane,N2139T,PIPER,PA-28R-200,No,1.0,Reciprocating,Part 91: General Aviation,,Ferry,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,05-01-1983,1982-01-05,Minor,1,2,NC
43,20020917X02156,Accident,LAX82DA037,1982-01-05,SPRINGERVILLE AZ,UNITED STATES,Non-Fatal,Substantial,Airplane,N738XP,CESSNA,TR182,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,05-01-1983,1982-01-05,Minor,1,2,AZ
44,20020917X01651,Accident,ANC82FA012,1982-01-05,BETHEL AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N3343S,CESSNA,A185F,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,05-01-1983,1982-01-05,Serious,2,2,AK
45,20020917X02423,Accident,MKC82DA016,1982-01-06,ROLLA MO,UNITED STATES,Non-Fatal,Substantial,Airplane,N2672A,CESSNA,340,Yes,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,06-01-1983,1982-01-06,Minor,1,2,MO
47,20020917X01913,Accident,DEN82DA015,1982-01-06,JACKSON WY,UNITED STATES,Non-Fatal,Substantial,Airplane,N8070Q,BEECH,35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,06-01-1983,1982-01-06,Minor,1,2,WY
48,20020917X01777,Accident,CHI82DA021,1982-01-06,PAXTON IL,UNITED STATES,Non-Fatal,Substantial,Airplane,N4900L,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,06-01-1983,1982-01-06,Minor,1,2,IL
50,20020917X02242,Accident,LAX82DVA10,1982-01-06,NEAR BAKERSFIEL CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N59737,BOEING,A75,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,0.0,1.0,0.0,1.0,IMC,Cruise,Probable Cause,06-01-1983,1982-01-06,Serious,2,2,CA
51,20020917X01964,Accident,DEN82FA016,1982-01-07,HELENA MT,UNITED STATES,Fatal,Destroyed,Airplane,N9763X,CESSNA,210,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,07-01-1983,1982-01-07,Fatal,3,3,MT
52,20020917X01659,Accident,ATL82DA031,1982-01-07,WESTMINISTER MD,UNITED STATES,Non-Fatal,Substantial,Airplane,N117P,BEECH,V35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,07-01-1983,1982-01-07,Minor,1,2,MD
54,20020917X02414,Accident,MIA82FLD14,1982-01-08,ODESSA FL,UNITED STATES,Fatal,Destroyed,Airplane,N80264,CESSNA,172M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,08-01-1983,1982-01-08,Fatal,3,3,FL
55,20020917X01881,Accident,CHI82FA024,1982-01-08,NEW PHILADELPHI OH,UNITED STATES,Fatal,Destroyed,Airplane,N207CB,PIPER,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,08-01-1983,1982-01-08,Fatal,3,3,OH
56,20020917X02574,Accident,SEA82DA016,1982-01-08,PULLMAN WA,UNITED STATES,Non-Fatal,Substantial,Airplane,N6106U,CESSNA,TU206G,No,1.0,Reciprocating,Part 91: General Aviation,,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-01-1983,1982-01-08,Minor,1,2,WA
57,20020917X02484,Accident,NYC82DA019,1982-01-08,CUTCHOGUE NY,UNITED STATES,Non-Fatal,Substantial,Airplane,N46681,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,08-01-1983,1982-01-08,Minor,1,2,NY
58,20020917X02431,Accident,MKC82DA026,1982-01-08,LIBERTY MO,UNITED STATES,Non-Fatal,Substantial,Airplane,N7618P,PIPER,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,08-01-1983,1982-01-08,Minor,1,2,MO
59,20020917X01779,Accident,CHI82DA023,1982-01-08,PEORIA IL,UNITED STATES,Non-Fatal,Substantial,Airplane,N6265P,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,08-01-1983,1982-01-08,Minor,1,2,IL
60,20020917X01778,Accident,CHI82DA022,1982-01-08,SANDUSKY OH,UNITED STATES,Non-Fatal,Substantial,Airplane,N737LH,CESSNA,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,08-01-1983,1982-01-08,Minor,1,2,OH
61,20020917X01717,Accident,ATL82DLG09,1982-01-08,GRANTITEVILLE SC,UNITED STATES,Non-Fatal,Substantial,Airplane,N25225,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-01-1983,1982-01-08,Minor,1,2,SC
63,20020917X02246,Accident,LAX82DVG12,1982-01-09,NAPA CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N731NZ,CESSNA,P210N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,1.0,0.0,3.0,VMC,Landing,Probable Cause,09-01-1983,1982-01-09,Serious,2,2,CA
64,20020917X01995,Accident,FTW82DA039,1982-01-09,FRUIT VALE TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N7355A,CESSNA,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,09-01-1983,1982-01-09,Minor,1,2,TX
65,20020917X01994,Accident,FTW82DA038,1982-01-09,TOMBALL TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N55489,PIPER,PA-34,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,09-01-1983,1982-01-09,Minor,1,2,TX
66,20020917X02283,Accident,LAX82FJA03,1982-01-09,MOKULEIA HI,UNITED STATES,Non-Fatal,Substantial,Airplane,N5639V,CESSNA,305 (L-19),No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,09-01-1983,1982-01-09,Minor,1,2,HI
67,20020917X01981,Accident,DEN82FTE15,1982-01-09,STEAMBOAT SPRIN CO,UNITED STATES,Non-Fatal,Substantial,Airplane,N2195G,CESSNA,182A,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,09-01-1983,1982-01-09,Minor,1,2,CO
